Angle,Intensity
33.8929,2163
33.9031,2265
33.9133,2097
33.9235,2097
33.9337,2135
33.9438,2104
33.954,2094
33.9642,2126
33.9744,2150
33.9846,2065
33.9948,2143
34.005,2100
34.0152,2119
34.0254,2092
34.0356,2092
34.0458,2149
34.056,2092
34.0662,2112
34.0764,2047
34.0865,2078
34.0967,2161
34.1069,2159
34.1171,2129
34.1273,2134
34.1375,2010
34.1477,2132
34.1579,2084
34.1681,2094
34.1783,2119
34.1885,1993
34.1987,2065
34.2089,2076
34.2191,2066
34.2292,2096
34.2394,2108
34.2496,2153
34.2598,2082
34.27,2063
34.2802,2046
34.2904,2067
34.3006,2001
34.3108,2013
34.321,2038
34.3312,2058
34.3414,2096
34.3516,2080
34.3618,2073
34.3719,2086
34.3821,1998
34.3923,2123
34.4025,2089
34.4127,2002
34.4229,2105
34.4331,2001
34.4433,2001
34.4535,2139
34.4637,2032
34.4739,2096
34.4841,1983
34.4943,2045
34.5045,1971
34.5146,2049
34.5248,2106
34.535,2128
34.5452,2043
34.5554,2067
34.5656,1930
34.5758,1963
34.586,2119
34.5962,1979
34.6064,1988
34.6166,2091
34.6268,2030
34.637,2095
34.6472,1968
34.6573,2029
34.6675,2025
34.6777,1934
34.6879,1956
34.6981,2024
34.7083,1992
34.7185,2006
34.7287,2002
34.7389,2038
34.7491,2035
34.7593,1962
34.7695,1936
34.7797,2003
34.7899,2051
34.8,1953
34.8102,2003
34.8204,1979
34.8306,2001
34.8408,1935
34.851,1927
34.8612,1989
34.8714,1965
34.8816,2015
34.8918,2006
34.902,1998
34.9122,1981
34.9224,1933
34.9326,1980
34.9427,1916
34.9529,1909
34.9631,1953
34.9733,1928
34.9835,1938
34.9937,2009
35.0039,1946
35.0141,1988
35.0243,1979
35.0345,1914
35.0447,1943
35.0549,1871
35.0651,1925
35.0753,1959
35.0854,2039
35.0956,1934
35.1058,2008
35.116,1945
35.1262,1930
35.1364,1914
35.1466,1899
35.1568,1968
35.167,1958
35.1772,1912
35.1874,1997
35.1976,1917
35.2078,1999
35.218,1947
35.2281,1989
35.2383,1944
35.2485,1892
35.2587,1880
35.2689,1949
35.2791,1965
35.2893,1944
35.2995,1919
35.3097,1987
35.3199,1879
35.3301,1949
35.3403,1931
35.3505,1840
35.3607,1939
35.3708,1974
35.381,1903
35.3912,1893
35.4014,1891
35.4116,1990
35.4218,1918
35.432,1906
35.4422,1836
35.4524,1973
35.4626,1948
35.4728,1973
35.483,1849
35.4932,1831
35.5034,1917
35.5135,1970
35.5237,1911
35.5339,1938
35.5441,1921
35.5543,1859
35.5645,1875
35.5747,1855
35.5849,1989
35.5951,1939
35.6053,1952
35.6155,1925
35.6257,1930
35.6359,1925
35.6461,1950
35.6562,1943
35.6664,1832
35.6766,1886
35.6868,1976
35.697,1881
35.7072,1876
35.7174,1907
35.7276,1830
35.7378,1873
35.748,1835
35.7582,1857
35.7684,1932
35.7786,1840
35.7888,1852
35.7989,1813
35.8091,1878
35.8193,1899
35.8295,1910
35.8397,1821
35.8499,1877
35.8601,1896
35.8703,1878
35.8805,1888
35.8907,1936
35.9009,1865
35.9111,1914
35.9213,1823
35.9315,1917
35.9416,1847
35.9518,1852
35.962,1877
35.9722,1867
35.9824,1850
35.9926,1837
36.0028,1858
36.013,1894
36.0232,1890
36.0334,1866
36.0436,1842
36.0538,1848
36.064,1849
36.0742,1870
36.0843,1861
36.0945,1924
36.1047,1882
36.1149,1878
36.1251,1856
36.1353,1871
36.1455,1784
36.1557,1844
36.1659,1816
36.1761,1800
36.1863,1859
36.1965,1821
36.2067,1807
36.2169,1873
36.227,1862
36.2372,1815
36.2474,1907
36.2576,1842
36.2678,1846
36.278,1821
36.2882,1816
36.2984,1839
36.3086,1713
36.3188,1780
36.329,1909
36.3392,1857
36.3494,1877
36.3596,1911
36.3697,1725
36.3799,1763
36.3901,1888
36.4003,1825
36.4105,1816
36.4207,1855
36.4309,1940
36.4411,1736
36.4513,1848
36.4615,1898
36.4717,1906
36.4819,1835
36.4921,1891
36.5023,1804
36.5124,1800
36.5226,1840
36.5328,1800
36.543,1759
36.5532,1808
36.5634,1834
36.5736,1812
36.5838,1817
36.594,1891
36.6042,1739
36.6144,1835
36.6246,1776
36.6348,1814
36.645,1782
36.6551,1819
36.6653,1820
36.6755,1818
36.6857,1768
36.6959,1817
36.7061,1818
36.7163,1804
36.7265,1840
36.7367,1818
36.7469,1770
36.7571,1760
36.7673,1824
36.7775,1769
36.7877,1837
36.7978,1816
36.808,1911
36.8182,1856
36.8284,1831
36.8386,1773
36.8488,1806
36.859,1783
36.8692,1893
36.8794,1777
36.8896,1746
36.8998,1802
36.91,1772
36.9202,1832
36.9304,1771
36.9405,1894
36.9507,1876
36.9609,1829
36.9711,1786
36.9813,1846
36.9915,1775
37.0017,1778
37.0119,1762
37.0221,1740
37.0323,1813
37.0425,1839
37.0527,1750
37.0629,1821
37.0731,1824
37.0832,1814
37.0934,1776
37.1036,1773
37.1138,1772
37.124,1828
37.1342,1759
37.1444,1828
37.1546,1761
37.1648,1809
37.175,1780
37.1852,1851
37.1954,1793
37.2056,1717
37.2158,1739
37.2259,1763
37.2361,1822
37.2463,1803
37.2565,1741
37.2667,1739
37.2769,1789
37.2871,1800
37.2973,1802
37.3075,1792
37.3177,1754
37.3279,1835
37.3381,1780
37.3483,1804
37.3585,1874
37.3686,1752
37.3788,1746
37.389,1792
37.3992,1794
37.4094,1819
37.4196,1788
37.4298,1787
37.44,1763
37.4502,1824
37.4604,1802
37.4706,1865
37.4808,1800
37.491,1746
37.5012,1807
37.5113,1863
37.5215,1755
37.5317,1860
37.5419,1767
37.5521,1785
37.5623,1807
37.5725,1738
37.5827,1764
37.5929,1793
37.6031,1745
37.6133,1739
37.6235,1802
37.6337,1784
37.6439,1757
37.654,1750
37.6642,1834
37.6744,1744
37.6846,1726
37.6948,1868
37.705,1769
37.7152,1807
37.7254,1788
37.7356,1780
37.7458,1783
37.756,1731
37.7662,1794
37.7764,1800
37.7866,1810
37.7967,1784
37.8069,1831
37.8171,1749
37.8273,1695
37.8375,1860
37.8477,1730
37.8579,1827
37.8681,1845
37.8783,1729
37.8885,1794
37.8987,1801
37.9089,1822
37.9191,1750
37.9293,1785
37.9395,1768
37.9496,1887
37.9598,1776
37.97,1767
37.9802,1747
37.9904,1729
38.0006,1704
38.0108,1751
38.021,1760
38.0312,1711
38.0414,1770
38.0516,1813
38.0618,1836
38.072,1737
38.0822,1800
38.0923,1830
38.1025,1766
38.1127,1760
38.1229,1733
38.1331,1700
38.1433,1849
38.1535,1867
38.1637,1725
38.1739,1759
38.1841,1768
38.1943,1857
38.2045,1792
38.2147,1826
38.2249,1764
38.235,1750
38.2452,1797
38.2554,1757
38.2656,1799
38.2758,1789
38.286,1835
38.2962,1805
38.3064,1725
38.3166,1775
38.3268,1765
38.337,1844
38.3472,1818
38.3574,1922
38.3676,1737
38.3777,1749
38.3879,1847
38.3981,1803
38.4083,1807
38.4185,1771
38.4287,1769
38.4389,1850
38.4491,1812
38.4593,1735
38.4695,1815
38.4797,1833
38.4899,1808
38.5001,1744
38.5103,1789
38.5204,1748
38.5306,1762
38.5408,1869
38.551,1802
38.5612,1766
38.5714,1744
38.5816,1757
38.5918,1719
38.602,1714
38.6122,1828
38.6224,1730
38.6326,1769
38.6428,1785
38.653,1809
38.6631,1837
38.6733,1770
38.6835,1804
38.6937,1820
38.7039,1788
38.7141,1821
38.7243,1727
38.7345,1733
38.7447,1782
38.7549,1807
38.7651,1849
38.7753,1794
38.7855,1832
